;
A;Maatalous, metsätalous ja kalatalous
 ;
1;Kasvinviljely ja kotieläintalous, riistatalous ja niihin liittyvät palvelut
11;Yksivuotisten kasvien viljely
111;Viljakasvien (pl. riisin), palkokasvien ja öljysiemenkasvien viljely
1110;Viljakasvien (pl. riisin), palkokasvien ja öljysiemenkasvien viljely
112;Riisin viljely
1120;Riisin viljely
113;Vihannesten ja melonien, juuresten ja mukulakasvien viljely
1131;Vihannesten viljely avomaalla (pl. peruna ja sokerijuurikas)
1132;Vihannesten viljely kasvihuoneessa
1133;Perunan viljely
1134;Sokerijuurikkaan viljely
114;Sokeriruo'on viljely
1140;Sokeriruo'on viljely
115;Tupakan viljely
1150;Tupakan viljely
116;Kuitukasvien viljely
1160;Kuitukasvien viljely
119;Muu yksivuotisten ja koristekasvien viljely
1191;Koristekasvien viljely
1199;Muiden yksivuotisten kasvien viljely
12;Monivuotisten kasvien viljely
121;Rypäleiden viljely
1210;Rypäleiden viljely
122;Trooppisten ja subtrooppisten hedelmien viljely
1220;Trooppisten ja subtrooppisten hedelmien viljely
123;Sitrushedelmien viljely
1230;Sitrushedelmien viljely
124;Omenoiden, kirsikoiden, luumujen ym. kota- ja kivihedelmien viljely
1240;Omenoiden, kirsikoiden, luumujen ym. kota- ja kivihedelmien viljely
125;Marjojen, pähkinöiden ja muiden puissa ja pensaissa kasvavien hedelmien viljely
1250;Marjojen, pähkinöiden ja muiden puissa ja pensaissa kasvavien hedelmien viljely
126;Öljyä sisältävien hedelmien viljely
1260;Öljyä sisältävien hedelmien viljely
127;Juomakasvien viljely
1270;Juomakasvien viljely
128;Mauste-, aromi-, rohdos- ja lääkekasvien viljely
1280;Mauste-, aromi-, rohdos- ja lääkekasvien viljely
129;Muu monivuotisten kasvien viljely
1290;Muu monivuotisten kasvien viljely
13;Taimien kasvatus ja muu kasvien lisääminen
130;Taimien kasvatus ja muu kasvien lisääminen
1300;Taimien kasvatus ja muu kasvien lisääminen
14;Kotieläintalous
141;Lypsykarjan kasvatus
1410;Lypsykarjan kasvatus
142;Muun nautakarjan ja puhvelien kasvatus
1420;Muun nautakarjan ja puhvelien kasvatus
143;Hevosten ja muiden hevoseläinten kasvatus
1430;Hevosten ja muiden hevoseläinten kasvatus
144;Kamelien ja kamelieläinten kasvatus
1440;Kamelien ja kamelieläinten kasvatus
145;Lampaiden ja vuohien kasvatus
1450;Lampaiden ja vuohien kasvatus
146;Sikojen kasvatus
1461;Porsastuotanto
1462;Lihasikojen kasvatus
147;Siipikarjan kasvatus
1471;Kananmunien tuotanto
1472;Broilerien tuotanto
1479;Muu siipikarjatalous
149;Muiden eläinten kasvatus
1491;Turkistarhaus
1492;Poronhoito
1499;Muu eläinten hoito
15;Yhdistetty kasvinviljely ja kotieläintalous (sekatilat)
150;Yhdistetty kasvinviljely ja kotieläintalous (sekatilat)
1500;Yhdistetty kasvinviljely ja kotieläintalous (sekatilat)
16;Maataloutta palveleva toiminta
161;Kasvinviljelyä palveleva toiminta
1611;Kasvinviljelyn tukipalvelut
1612;Maatalousmaan pitäminen viljelykelpoisena
162;Kotieläintaloutta palveleva toiminta
1620;Kotieläintaloutta palveleva toiminta
163;Sadon jatkokäsittely
1630;Sadon jatkokäsittely
164;Siementen käsittely kasvinviljelyä varten
1640;Siementen käsittely kasvinviljelyä varten
17;Metsästys ja sitä palveleva toiminta
170;Metsästys ja sitä palveleva toiminta
1700;Metsästys ja sitä palveleva toiminta
 ;
2;Metsätalous ja puunkorjuu
21;Metsänhoito
210;Metsänhoito
2100;Metsänhoito
22;Puunkorjuu
220;Puunkorjuu
2200;Puunkorjuu
23;Luonnon tuotteiden keruu (pl. polttopuu)
230;Luonnon tuotteiden keruu (pl. polttopuu)
2300;Luonnon tuotteiden keruu (pl. polttopuu)
24;Metsätaloutta palveleva toiminta
240;Metsätaloutta palveleva toiminta
2400;Metsätaloutta palveleva toiminta
 ;
3;Kalastus ja vesiviljely
31;Kalastus
311;Merikalastus
3110;Merikalastus
312;Sisävesikalastus
3120;Sisävesikalastus
32;Vesiviljely
321;Kalanviljely meressä
3210;Kalanviljely meressä
322;Kalanviljely sisävesissä
3220;Kalanviljely sisävesissä
 ;
B;Kaivostoiminta ja louhinta
 ;
5;Kivihiilen ja ruskohiilen kaivu
51;Kivihiilen kaivu
510;Kivihiilen kaivu
5100;Kivihiilen kaivu
52;Ruskohiilen kaivu
520;Ruskohiilen kaivu
5200;Ruskohiilen kaivu
 ;
6;Raakaöljyn ja maakaasun tuotanto
61;Raakaöljyn tuotanto
610;Raakaöljyn tuotanto
6100;Raakaöljyn tuotanto
62;Maakaasun tuotanto
620;Maakaasun tuotanto
6200;Maakaasun tuotanto
 ;
7;Metallimalmien louhinta
71;Rautamalmien louhinta
710;Rautamalmien louhinta
7100;Rautamalmien louhinta
72;Värimetallimalmien louhinta
721;Uraani- ja toriummalmien louhinta
7210;Uraani- ja toriummalmien louhinta
729;Muiden värimetallimalmien louhinta
7290;Muiden värimetallimalmien louhinta
 ;
8;Muu kaivostoiminta ja louhinta
81;Kiven louhinta, hiekan ja saven otto
811;Koriste- ja rakennuskiven, kalkkikiven, kipsin, liidun ja liuskekiven louhinta
8111;Koriste- ja rakennuskiven louhinta
8112;Kalkkikiven, kipsin, liidun ja dolomiitin louhinta
8113;Liuskekiven louhinta
812;Soran, hiekan, saven ja kaoliinin otto
8120;Soran, hiekan, saven ja kaoliinin otto
89;Muu mineraalien kaivu
891;Kemiallisten ja lannoitemineraalien louhinta
8910;Kemiallisten ja lannoitemineraalien louhinta
892;Turpeen nosto
8920;Turpeen nosto
893;Suolan tuotanto
8930;Suolan tuotanto
899;Muualla luokittelematon kaivostoiminta ja louhinta
8990;Muualla luokittelematon kaivostoiminta ja louhinta
 ;
9;Kaivostoimintaa palveleva toiminta
91;Raakaöljyn ja maakaasun tuotantoa palveleva toiminta
910;Raakaöljyn ja maakaasun tuotantoa palveleva toiminta
9100;Raakaöljyn ja maakaasun tuotantoa palveleva toiminta
99;Muuta kaivostoimintaa ja louhintaa palveleva toiminta
990;Muuta kaivostoimintaa ja louhintaa palveleva toiminta
9900;Muuta kaivostoimintaa ja louhintaa palveleva toiminta
 ;
C;Teollisuus
 ;
10;Elintarvikkeiden valmistus
101;Teurastus, lihan säilyvyyskäsittely ja lihatuotteiden valmistus
1011;Teurastus ja lihan säilyvyyskäsittely (pl. siipikarja)
10110;Teurastus ja lihan säilyvyyskäsittely (pl. siipikarja)
1012;Siipikarjan teurastus ja lihan säilyvyyskäsittely
10120;Siipikarjan teurastus ja lihan säilyvyyskäsittely
1013;Liha- ja siipikarjatuotteiden valmistus
10130;Liha- ja siipikarjatuotteiden valmistus
102;Kalan, äyriäisten ja nilviäisten jalostus ja säilöntä
1020;Kalan, äyriäisten ja nilviäisten jalostus ja säilöntä
10200;Kalan, äyriäisten ja nilviäisten jalostus ja säilöntä
103;Hedelmien ja kasvisten jalostus ja säilöntä
1031;Perunoiden jalostus ja säilöntä
10310;Perunoiden jalostus ja säilöntä
1032;Hedelmä-, marja- ja kasvismehujen valmistus
10320;Hedelmä-, marja- ja kasvismehujen valmistus
1039;Muu hedelmien, marjojen ja kasvisten jalostus ja säilöntä
10390;Muu hedelmien, marjojen ja kasvisten jalostus ja säilöntä
104;Kasvi- ja eläinöljyjen ja -rasvojen valmistus
1041;Kasvi- ja eläinperäisten öljyjen ja -rasvojen valmistus (pl. ravintorasvat)
10410;Kasvi- ja eläinperäisten öljyjen ja -rasvojen valmistus (pl. ravintorasvat)
1042;Margariinin ja sen kaltaisten ravintorasvojen valmistus
10420;Margariinin ja sen kaltaisten ravintorasvojen valmistus
105;Maitotaloustuotteiden valmistus
1051;Maitotaloustuotteiden ja juuston valmistus
10510;Maitotaloustuotteiden ja juuston valmistus
1052;Jäätelön valmistus
10520;Jäätelön valmistus
106;Mylly- ja tärkkelystuotteiden valmistus
1061;Myllytuotteiden valmistus
10610;Myllytuotteiden valmistus
1062;Tärkkelyksen ja tärkkelystuotteiden valmistus
10620;Tärkkelyksen ja tärkkelystuotteiden valmistus
107;Leipomotuotteiden, makaronien yms. valmistus
